SeqNum,InitialVelocity,Kr,InitialTargetDist,Tb,Tb_prime,Tb_idx,decrement_point,detection_point,MaxCallRatePoint,OverlapPoint,Rate,Velocity,Distance,IPI,CallDur,Amplitude
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,115.9211372715,4.37864918495084,0.2465756807267,0.00862655442775628,0.000835653777564498,66.25
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,136.891375516329,5.17329279355371,0.208803025212671,0.00730506210656576,0.000658111888015102,66
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,167.142462235077,5.76888382084246,0.171011800060312,0.00598292011872813,0.000779905657276504,65.75
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,200,5.63240713227067,0.136497028985989,0.00477540626190048,0.0011750568169838,65.5
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,200,4.43710819434849,0.10959999669697,0.00383440221680363,0.00069817658290033,65.25
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,200,4.90879204028498,0.0925863392003631,0.00323917221692232,0.0010121972694318,65
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,200,4.81060302678162,0.0766859164048225,0.00268288920366726,0.000959157352472863,64.75
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,200,5.50294339580742,0.0637796014811411,0.00223135632003992,0.000981348402610641,64.5
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,200,4.62828423679528,0.0515005739560842,0.00180176935123327,0.00135749677430489,64.25
82,5.05,5,20,0.0336453865825676,-0.00520596912374952,18,2,2,27,28,1.42916666666667,5.3942042296241,20,0.699708454810496,0.0093116884852324,94
82,5.05,5,20,0.0336453865825676,-0.00520596912374952,18,2,2,27,28,1.761616274571,5.26069682269693,16.2256296935575,0.56766051406032,0.01,70
82,5.05,5,20,0.0336453865825676,-0.00520596912374952,18,2,2,27,28,2.1589696841746,4.94597916791348,13.2393398308699,0.46318390078845,0.01,76.8755754192358
82,5.05,5,20,0.0336453865825676,-0.00520596912374952,18,2,2,27,28,2.61072155992836,5.35270726331956,10.9484419066573,0.383035868454482,0.01,85.639873588213
82,5.05,5,20,0.0336453865825676,-0.00520596912374952,18,2,2,27,28,3.21227350322152,4.89338232464274,8.89816303146905,0.311305995270054,0.01,92.7373061477366
82,5.05,5,20,0.0336453865825676,-0.00520596912374952,18,2,2,27,28,3.87579882570176,4.40343784099259,7.37482377665925,0.258011327463298,0.01,89.4957750185689
82,5.05,5,20,0.0336453865825676,-0.00520596912374952,18,2,2,27,28,4.5816264922678,4.97064612519818,6.23868693390264,0.218263099728372,0.00850888162911722,83.4454790543111
