ConditionName,SeqID,ConditionCode,SSG_ID,GroupSize,FirstCall,LastCall,SequenceLength_calls,NormalisedPosition_percent,StableIPI_ms,WithinCV,LeftFlankIPI_ms,RightFlankIPI_ms,LeftFlankRatio,RightFlankRatio,AnchorDistance_m,NearestDistance_m,AnchorSameWithinSSG,AnchorSwitchWithinSSG
two_targets_moving_anchor_random,4427,C5,244,2,48,49,132,36.7424242424242,7.69560412203816,0.0409538790243977,11.7226591522308,11.9971170245481,1.52329290414773,1.55895714414305,0.221540048034653,0.221540048034653,1,0
two_targets_moving_anchor_random,4427,C5,245,2,53,54,132,40.530303030303,8.40129275301416,0.0450011715006822,10.2038613664909,10.5081595022091,1.21455848123254,1.25077887548187,0.241328342567027,0.241328342567027,1,0
two_targets_moving_anchor_random,4429,C5,246,2,28,29,48,59.375,14.8450768544669,0.040605159951341,20.680093566014,18.7789618478694,1.39306072772479,1.26499593312774,0.42697007110739,0.42697007110739,1,0
two_targets_moving_anchor_random,4430,C5,247,2,24,25,250,9.8,18.3432125324671,0.0272219844179013,26.4351593376813,23.5925082220572,1.44114120091514,1.28617101177337,0.527119282704197,0.527119282704197,1,0
two_targets_moving_anchor_random,4430,C5,248,2,49,50,250,19.8,9.72563290510598,0.0333357275092493,11.8388268633959,12.2702638320042,1.21728086787858,1.26164167943891,0.27886736359883,0.27886736359883,1,0
two_targets_moving_anchor_random,4430,C5,249,2,245,246,250,98.2,12.860326608291,0.0155702523145537,17.7664759128234,18.3169365641453,1.38149492263823,1.4242979297537,0.368473256825817,0.368473256825817,1,0
two_targets_moving_anchor_random,4432,C5,250,2,16,17,250,6.6,29.3973607468723,0.0272554001369319,45.0632055748707,39.3279823183616,1.5328997035785,1.33780656899772,0.844837627569313,0.844837627569313,1,0
two_targets_moving_anchor_random,4432,C5,251,2,86,87,250,34.6,8.12898296810286,0.0361016912543603,14.1338594230074,14.2932099538166,1.73869959851889,1.75830236204226,0.233084137413541,0.233084137413541,1,0
two_targets_moving_anchor_random,4432,C5,252,2,100,101,250,40.2,8.7763064204235,0.034661118623555,14.0837664120704,14.4546834459265,1.60474871060744,1.6470121658798,0.252282628456507,0.252282628456507,1,0
two_targets_moving_anchor_random,4432,C5,253,2,104,105,250,41.8,9.2395754898005,0.0360846802905051,13.2476193630663,13.2236622130796,1.43379091146452,1.43119802719044,0.265090977916054,0.265090977916054,1,0
two_targets_moving_anchor_random,4432,C5,254,2,170,171,250,68.2,8.03644252317797,0.0483975187366992,11.2532491329505,11.8641520794718,1.40027743625303,1.47629402503089,0.231013635622533,0.231013635622533,1,0
two_targets_moving_anchor_random,4432,C5,255,2,224,225,250,89.8,6.67661398667543,0.0391833822487514,12.1069809961047,12.6460268648952,1.81334146623823,1.89407787991533,0.192083273944861,0.192083273944861,1,0
two_targets_moving_anchor_random,4432,C5,256,2,228,229,250,91.4,7.59007365526097,0.0429768839195355,11.5083390959468,11.5398485334535,1.51623549634067,1.52038689709616,0.218157320197561,0.218157320197561,1,0
two_targets_moving_anchor_random,4432,C5,257,3,145,147,250,58.4,7.95686514008494,0.0478779498847923,12.3627470409951,12.7853946152969,1.5537208213715,1.60683816932964,0.230654505707533,0.230654505707533,1,0
two_targets_moving_anchor_random,4432,C5,258,3,166,168,250,66.8,8.03813239284321,0.0389756416663991,11.5323102734092,11.2532491329505,1.43470021514912,1.39998305364687,0.229453040327444,0.229453040327444,1,0
two_targets_moving_anchor_random,4436,C5,259,2,40,41,85,47.6470588235294,8.07983930047764,0.0368967056312045,11.2237348870929,11.1649771967126,1.38910372715326,1.38183159113729,0.231732372116722,0.231732372116722,1,0
two_targets_moving_anchor_random,4439,C5,260,2,97,98,250,39,10.4759606401243,0.0259651152601202,14.0411806220604,13.9847897136431,1.34032391915266,1.33494103252731,0.300681482756268,0.300681482756268,1,0
two_targets_moving_anchor_random,4439,C5,261,2,103,104,250,41.4,9.44526427230943,0.0108853120768904,14.7778132734804,14.57813769696,1.56457382741575,1.54343354263772,0.271372095226576,0.271372095226576,1,0
two_targets_moving_anchor_random,4439,C5,262,2,127,128,250,51,10.563017840082,0.0231488944134164,14.5602087150841,14.3716118435612,1.37841371997257,1.36055927019523,0.303336181033848,0.303336181033848,1,0
two_targets_moving_anchor_random,4439,C5,263,2,210,211,250,84.2,13.255873660363,0.0167267341930776,16.6291184581194,17.2418691377239,1.25447170697189,1.30069655003424,0.380694055862411,0.380694055862411,1,0
two_targets_moving_anchor_random,4439,C5,264,2,236,237,250,94.6,10.9761174024423,0.0447033676569457,17.2463853321145,16.6361950947158,1.57126465577683,1.51567211653677,0.315501814196227,0.315501814196227,1,0
