SeqID,SSG_ID,GroupSize,FirstCall,LastCall,SequenceLength_calls,NormalisedPosition_percent,StableIPI_ms,WithinCV,LeftFlankRatio,RightFlankRatio,AnchorDistance_m,NearestDistance_m,AnchorSameWithinSSG,AnchorSwitchWithinSSG,ConditionName
4020,85,3,15,17,25,64,11.5324016440172,0.0443992614740073,1.53206561109581,1.28366836934668,0.331882935810824,0.331882935810824,1,0,two_targets_moving_anchor_random
4021,86,2,42,43,250,17,7.94672149091043,0.0318377964724383,1.44191628142132,1.52432743603303,0.228425964991608,0.228425964991608,1,0,two_targets_moving_anchor_random
4021,87,2,85,86,250,34.2,8.61074459686431,0.0270353216943869,1.41421910943099,1.41200946478017,0.246897274643456,0.246897274643456,1,0,two_targets_moving_anchor_random
4021,88,2,105,106,250,42.2,9.34768800406339,0.0399075605412831,1.25789866972539,1.38525890834361,0.268712302470238,0.268712302470238,1,0,two_targets_moving_anchor_random
4021,89,2,164,165,250,65.8,10.3951602088296,0.0322801199709578,1.32408992791674,1.41150801682704,0.298621676628912,0.298621676628912,1,0,two_targets_moving_anchor_random
4021,90,2,204,205,250,81.8,12.5696287784881,0.0414689919497103,1.20464809376139,1.28344871642292,0.361757257004469,0.361757257004469,1,0,two_targets_moving_anchor_random
4021,91,2,234,235,250,93.8,12.8685869955557,0.0360803563920709,1.37035577606279,1.41281159569493,0.370229536434647,0.370229536434647,1,0,two_targets_moving_anchor_random
4023,92,2,15,16,25,62,10.5203414502022,0.0430650233401947,1.65251439641911,1.46676841700451,0.30178454372408,0.30178454372408,1,0,two_targets_moving_anchor_random
4027,93,2,7,8,27,27.7777777777778,20.779721769719,0.0480857228916812,1.5324190868821,1.25377240283979,0.597607429149653,0.597607429149653,1,0,two_targets_moving_anchor_random
4032,94,2,22,23,27,83.3333333333333,7.65890791657067,0.0291348217372372,1.4948519532317,1.27364918490135,0.220420072948253,0.220420072948253,1,0,two_targets_moving_anchor_random
4033,95,2,48,49,201,24.1293532338308,7.59143181359231,0.0238300544846515,1.7077663110024,1.7520077286254,0.218061067072317,0.218061067072317,1,0,two_targets_moving_anchor_random
4033,96,2,57,58,201,28.6069651741294,8.95066722825868,0.021697844420564,1.41943091633745,1.49651436321549,0.256522747120173,0.256522747120173,1,0,two_targets_moving_anchor_random
4033,97,2,67,68,201,33.5820895522388,9.91391256298015,0.0251580871991284,1.28387125726838,1.29307753788593,0.284366302040657,0.284366302040657,1,0,two_targets_moving_anchor_random
4033,98,2,106,107,201,52.9850746268657,8.87918246216047,0.0433858797067389,1.49966906687609,1.52753730782033,0.255083791858198,0.255083791858198,1,0,two_targets_moving_anchor_random
4034,99,2,51,52,125,41.2,9.15023147331392,0.0228416606693193,1.20483651660159,1.25807227002542,0.262784746485597,0.262784746485597,1,0,two_targets_moving_anchor_random
4034,100,2,114,115,125,91.6,6.18173870393085,0.017608764109125,1.91212596557214,1.83953510794653,0.17730002518854,0.17730002518854,1,0,two_targets_moving_anchor_random
4035,101,2,22,23,30,75,7.70768331785785,0.0111996708609994,1.36353747901582,1.21088203534339,0.220891686508551,0.220891686508551,1,0,two_targets_moving_anchor_random
4036,102,2,7,8,18,41.6666666666667,19.9651487056135,0.0397684953619912,1.73126050546966,1.52031158291029,0.573556429176681,0.573556429176681,1,0,two_targets_moving_anchor_random
4038,103,2,135,136,197,68.7817258883249,8.17481526656186,0.0380857975992209,1.32658026523023,1.34164348919449,0.23491364704922,0.23491364704922,1,0,two_targets_moving_anchor_random
4039,104,2,11,12,20,57.5,10.3510946749599,0.0360908513555291,1.88422888040471,1.67320014678757,0.29694713704013,0.29694713704013,1,0,two_targets_moving_anchor_random
